Approved symbol	Alias symbol	Previous symbol
AGAP4	Em:AC012044.1	CTGLF5
AGAP4	MRIP2	CTGLF5
AGAP5	Em:AC073389.1	CTGLF2
AGAP6	bA324H6.1	CTGLF3
AGAP7P	bA109G10.1	CTGLF4
AGAP7P	bA109G10.1	AGAP7
AGAP9	bA301J7.2	CTGLF6
AGAP9	FLJ00312	CTGLF6
AGAP10P	bA358L16.1	AGAP10
AGAP10P	bA144G6.2	AGAP10
AGAP10P	bA358L16.1	CTGLF7
AGAP10P	bA144G6.2	CTGLF7
AGAP10P	bA358L16.1	CTGLF10P
AGAP10P	bA144G6.2	CTGLF10P
AGAP12P	bA164N7.2	CTGLF12P
AGAP13P	bA548K23.1	CTGLF9P
AGAP14P	bA145E20.1	CTGLF11P
AGFG1	RIP	HRB
AGFG1	RAB	HRB
AGFG2	RABR	HRBL
AGK	FLJ10842	MULK
AGMO	FLJ16237	TMEM195
AGO1	hAGO1	EIF2C1
AGO2	hAGO2	EIF2C2
AGO2	Q10	EIF2C2
AGO3	hAGO3	EIF2C3
AGO3	FLJ12765	EIF2C3
AGO4	hAGO4	EIF2C4
AGO4	KIAA1567	EIF2C4
AGO4	FLJ20033	EIF2C4
AGPAT2	LPAAT-beta	BSCL
AGPAT4-IT1	FLJ23112	C6orf59
AGPAT4-IT1	FLJ23112	NCRNA00241
AGT		SERPINA8
AGTR1	AT1	AGTR1B
AGTR1	AT2R1	AGTR1B
AGTR1	AGTR1A	AGTR1B
AGTR1	AT2R1A	AGTR1B
AGTR1	HAT1R	AGTR1B
AGTR1	AG2S	AGTR1B
AGTR1	AT2R1B	AGTR1B
AGTR1	AT1B	AGTR1B
AGXT	AGXT1	SPAT
AGXT	PH1	SPAT
AGXT	AGT	SPAT
AGXT	SPT	SPAT
AGXT	AGT1	SPAT
AHCTF1P1	ELYS-like	AHCTF1P
AHNAK2		C14orf78
AHRR	KIAA1234	AHH
AHRR	bHLHe77	AHH
AHRR	KIAA1234	AHHR
AHRR	bHLHe77	AHHR
AHSA1	p38	C14orf3
AHSA1	Aha1	C14orf3
AHSA1	hAha1	C14orf3
AHSP	EDRF	ERAF
AIDA	FLJ12806	C1orf80
AIF1L	IBA2	C9orf58
AIF1L	FLJ12783	C9orf58
AIFM1	AIF	PDCD8
AIFM1	CMTX4	PDCD8
AIFM1	AIF	NAMSD
AIFM1	CMTX4	NAMSD
AIFM2	FLJ14497	AMID
AIFM2	PRG3	AMID
AIM1	CRYBG1	ST4
AIMP1	EMAPII	SCYE1
AIMP1	EMAP-2	SCYE1
AIMP1	p43	SCYE1
AIMP1P1	bA400P21.1	SCYE1P
AIPL1		LCA4
AIRE	PGA1	APECED
AIRE	APS1	APECED
AJUBA	MGC15563	JUB
AK3	AKL3L1	AK6
AK3	AKL3L1	AK3L1
AK4		AK3
AK4		AK3L1
AK4P1		AK3P1
AK4P3	AK3L2P	AK3L2
AK8	FLJ32704	C9orf98
AK9	FLJ42177	C6orf224
AK9	FLJ25791	C6orf224
AK9	dJ70A9.1	C6orf224
AK9	MGC26954	C6orf224
AK9	FLJ42177	AKD2
AK9	FLJ25791	AKD2
AK9	dJ70A9.1	AKD2
AK9	MGC26954	AKD2
AK9	FLJ42177	C6orf199
AK9	FLJ25791	C6orf199
AK9	dJ70A9.1	C6orf199
AK9	MGC26954	C6orf199
AK9	FLJ42177	AKD1
AK9	FLJ25791	AKD1
