"GLA_genenames"	"GLA_pvalue"
"STAM"	0.002148693
"NINL"	0.00013174
"TCF3"	0.003657067
"PRPF39"	0.002164522
"ATP1B1"	0.001682496
"NUDT17"	0.001699857
"TLK2"	0.001470078
"SUCLG2"	0.001104984
"KCNQ2"	0.00238511
"ZNF559"	7.46e-05
"JPH3"	0.004766136
"PCOLCE"	0.001819342
"OR2T10"	0.002684334
"DPP3"	0.001807598
"KRT34"	0.002200776
"PLEKHA8"	0.002307496
"GRIA2"	0.001800449
"MUC21"	0.002916667
"LEO1"	0.002644506
"QRICH1"	0.003064236
"PLA1A"	0.001264808
"SCUBE1"	0.00226154
"DOCK5"	0.002060355
"KRBA2"	0.001034007
"RAB2A"	0.002410131
"KLHDC10"	0.001951083
"PPM1D"	0.001481311
"JUP"	0.0035769
"TCTE3"	0.002400429
"LRRC14"	0.003408395
"GGNBP2"	0.002599571
"SMURF1"	0.00169424
"UTP6"	0.001416973
"SPATA6L"	0.000714869
"CAPN12"	0.000615809
"SCN1A"	0.000888991
"GRIA1"	0.001371017
"MTMR12"	0.002298815
"FAM200B"	0.008317504
"AHDC1"	0.009900429
"HAPLN3"	0.003845486
"CSTF2T"	0.003274101
"TANC2"	0.003069853
"ZC3H11A"	0.001500715
"USP45"	0.000234375
"RUNDC1"	0.003837827
"KLC1"	0.00262357
"MTUS1"	0.001240809
"URB1"	0.024226409
"TAF4"	0.003578431
"CCT6B"	0.001074857
"C16orf13"	0.003311887
"WNT9A"	0.003678002
"KIRREL3"	0.003479882
"AXL"	0.004603248
"SLCO1B3"	0.003074959
"NRG4"	0.004032373
"PSD3"	0.002103758
"ATP1A1"	0.002545445
"SRGAP3"	0.006320466
"IL27"	0.00499183
"TNPO3"	0.001443525
"STMN4"	0.004830474
"RAD21L1"	0.010911458
"SRPK2"	0.002831904
"DBX2"	0.004485805
"RNF38"	0.003138787
"CYP27C1"	0.002122651
"TRIP12"	0.000251225
"CDC23"	0.002579146
"PLCD4"	0.000539216
"OVOL1"	0.005875204
"SPON2"	0.00754902
"RIMS1"	0.001026348
"PTMS"	0.005788399
"CHD1"	0.001286765
"ZNF853"	0.012364685
"CA3"	0.005150633
"MYOC"	0.000851205
"IFNA10"	0.006379187
"C21orf2"	0.004448019
"WHSC1"	0.002617443
"GRID2IP"	0.021412888
"UBB"	0.007517872
"OR51A2"	0.007343239
"NKIRAS2"	0.003342525
"NRXN1"	0.005568832
"BST2"	0.0071298
"SSR2"	0.0044327
"PPP2R5D"	0.004228962
"STAU2"	0.004339257
"STARD10"	0.006255106
"TUSC1"	0.005999285
"CYBRD1"	0.005247651
"SDCCAG3"	0.001977635
"FAM8A1"	0.00690819
"RIPPLY1"	0.006236724
"RAPGEF4"	0.000593852
"ECE1"	0.005729677
"VSIG4"	0.005243566
"CSDE1"	0.00302645
"RGS2"	0.003612643
"PLVAP"	0.007872243
"NFIB"	0.005886949
"RGMA"	0.010667892
"SNTG1"	0.004834048
"FREM3"	0.030274203
"LRRTM2"	0.006776961
"AGAP2"	0.004620098
"SLC25A39"	0.006195874
"ZFAND5"	0.006540033
"ARHGAP30"	0.004538399
"FCRL6"	0.001172386
"IFI44L"	0.004481209
"PHF7"	0.004328023
"PINK1"	0.008474265
"DOT1L"	0.019887153
"FOXG1"	0.010458538
"MPP6"	0.006377145
"ELAVL2"	0.008459457
"C11orf24"	0.010886438
"POTEH"	0.008652982
"SLC25A6"	0.011703942
"HCN3"	0.007026144
"NR2F1"	0.009745711
"BRWD1"	0.002068525
"DVL3"	0.00451491
"GLTSCR2"	0.006687092
"PRSS38"	0.006038092
"SHANK3"	0.005420752
